id;title;type;status;start_date;end_date;priority;size
1;withdrawal Moldovan Leu Intelligent;EPIC;COMPLETE;2020-09-29T15:52:28;2020-09-29T16:56:49;17396;methodologies
2;deposit;BUG;COMPLETE;2020-09-29T20:07:25;2020-09-29T09:50:27;46567;circuit PNG solid state
3;Wisconsin Pakistan Rupee proactive;STORY;IN_PROGRESS;2020-09-29T12:10:45;2020-09-30T03:28:09;80800;Health Uganda Shilling driver
4;Reduced;STORY;PLANNED;2020-09-29T13:59:00;2020-09-29T20:19:06;22898;TCP Agent architectures
5;Plastic invoice real-time;BUG;IN_PROGRESS;2020-09-29T22:15:23;2020-09-30T05:24:09;14730;logistical
6;Borders;BUG;IN_PROGRESS;2020-09-29T12:43:49;2020-09-29T08:19:34;55140;payment Gorgeous Frozen Bacon
7;Colombian Peso Unidad de Valor Real initiatives;STORY;COMPLETE;2020-09-29T07:54:56;2020-09-29T14:06:45;30344;collaboration Egyptian Pound homogeneous
8;compressing definition Lodge;BUG;IN_PROGRESS;2020-09-29T07:23:01;2020-09-29T18:01:33;20019;fuchsia
9;Cotton;STORY;COMPLETE;2020-09-30T03:00:02;2020-09-30T02:36:33;98531;Quality real-time
10;withdrawal deposit niches;TASK;COMPLETE;2020-09-29T13:30:04;2020-09-29T16:47:21;49580;Bike Home Loan Account
